"FileName","FullPath","ERROR","FAILED","DENIED"
"access-2024-10-14.log","C:\Users\vasko\Documents\Plugg\Script\Audit_Log_Analysis\network_configs\logs\access-2024-10-14.log","0","3","1"
"security-2024-10-13.log","C:\Users\vasko\Documents\Plugg\Script\Audit_Log_Analysis\network_configs\logs\security-2024-10-13.log","6","6","1"
"security-2024-10-14.log","C:\Users\vasko\Documents\Plugg\Script\Audit_Log_Analysis\network_configs\logs\security-2024-10-14.log","6","4","1"
"system-2024-10-13.log","C:\Users\vasko\Documents\Plugg\Script\Audit_Log_Analysis\network_configs\logs\system-2024-10-13.log","5","1","0"
"system-2024-10-14.log","C:\Users\vasko\Documents\Plugg\Script\Audit_Log_Analysis\network_configs\logs\system-2024-10-14.log","5","1","0"
